Video Number,Video Title,Video Duration,Video URL,Watched,Watch again later,Notes
18,Drake - Free Spirit (ft. Rick Ross),4:13,https://www.youtube.com/watch?v=vhlNG5qJy8I,,,
17,Drake - Club Paradise,4:44,https://www.youtube.com/watch?v=EfGOqrXcm_Y,,,
16,Drake - 2009 Red Carpet Interview (American Music Awards),1:08,https://www.youtube.com/watch?v=osDDTB9EF-I,,,
15,Drake - Miss Me (Official Music Video) ft. Lil Wayne,6:01,https://www.youtube.com/watch?v=TRLSQDCkcaA,,,
14,Drake & Nicki Minaj at Hot 93.7 Hot Jam 9 (Drake Responds to Lil Kim),2:22,https://www.youtube.com/watch?v=XVrHVP9ya3c,,,
13,Drake - Find Your Love (Official Music Video),5:49,https://www.youtube.com/watch?v=Xyv4Bjja8yc,,,
12,Drake - Over,4:02,https://www.youtube.com/watch?v=2lTB1pIg1y0,,,
11,Drake - Best I Ever Had (Live at Axe Lounge),1:37,https://www.youtube.com/watch?v=beiNVkti6M4,,,
10,Drake - Every Girl (Live At Axe Lounge),2:49,https://www.youtube.com/watch?v=KA2KiBj3Xfc,,,
9,Drake - I'm Goin In (Live at Axe Lounge),2:22,https://www.youtube.com/watch?v=xSlZ3LizWv8,,,
8,Drake - Say Something (Live at Axe Lounge),2:49,https://www.youtube.com/watch?v=6FA-ewgO63A,,,
7,Drake - Bedrock (Live at Axe Lounge),1:15,https://www.youtube.com/watch?v=aOwq6Ccim_U,,,
6,Drake - Throw It In The Bag (Live at Axe Lounge),1:49,https://www.youtube.com/watch?v=xA4LgBXi0KA,,,
5,Drake - Forever (Live at Axe Lounge),2:10,https://www.youtube.com/watch?v=o-x90Er0fI4,,,
4,Drake - Intro/Money To Blow (Live at Axe Lounge),2:29,https://www.youtube.com/watch?v=IvzbM10fL-w,,,
3,Cash Money / Young Money: New Years Eve 2010,10:46,https://www.youtube.com/watch?v=DiLbUU116l4,,,
2,"Drake, Kanye West, Lil Wayne, Eminem - Forever",6:12,https://www.youtube.com/watch?v=bOEvBlNI-wc,,,
1,"Drake, Kanye West, Lil Wayne, Eminem - Forever (Explicit Version) (Official Music Video)",6:14,https://www.youtube.com/watch?v=eDuRoPIOBjE,,,
